molecule_chembl_id,canonical_smiles,pAffinity,MW,logP,TPSA,HBD,HBA,RotB,AromR,QED,scaffold,peptide_like
CHEMBL1923641,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cccc3c2O[C@@H](CC3)CN[C@@H](C2CC2)C(=O)N1C,7.721246399047171,550.6750000000003,2.524300000000001,99.77,3,5,3,2,0.5456950379291087,O=C1CNC(=O)C(C2CC2)NCC2CCc3cccc(c3O2)CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923640,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cccc3c2O[C@H](CC3)CN[C@@H](C2CC2)C(=O)N1C,9.045757490560675,550.6750000000003,2.524300000000001,99.77,3,5,3,2,0.5456950379291087,O=C1CNC(=O)C(C2CC2)NCC2CCc3cccc(c3O2)CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923639,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OC(C)(C)CN[C@@H](C2CC2)C(=O)N1C,7.920818753952375,552.6910000000003,2.988100000000001,99.77,3,5,3,2,0.5439340330656476,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923625,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.068338569939772,524.6370000000004,2.209500000000001,99.77,3,5,3,2,0.5719808933101728,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3892319,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](CCCN)C(=O)N1C,7.0,541.6680000000003,1.538400000000002,125.79,4,6,5,2,0.4551692200125619,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)CN1,False
CHEMBL3889672,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](CCN)C(=O)N1C,7.0,527.6410000000003,1.1483000000000025,125.79,4,6,4,2,0.4728014155286856,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)CN1,False
CHEMBL3923324,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](CN)C(=O)N1C,7.0,513.6140000000004,0.7582000000000029,125.79,4,6,3,2,0.48029019179223836,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)CN1,False
CHEMBL1923638,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O[C@@H](C)CN[C@@H](C2CC2)C(=O)N1C,7.6259059864969,538.6640000000003,2.5980000000000008,99.77,3,5,3,2,0.5581335528453896,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3934402,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ncccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,525.6250000000003,1.6045000000000003,112.66000000000001,3,6,3,2,0.561443474946499,O=C1CNC(=O)C(C2CC2)NCCOc2cccnc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3902231,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCOCCOCCN[C@@H](C2CC2)C(=O)N1C,6.0,478.5650000000004,0.23110000000000297,109.00000000000001,3,6,3,1,0.5741450664871567,O=C1CNC(=O)C(C2CC2)NCCOCCOCCNC(=O)C(Cc2ccccc2)N1,False
