molecule_chembl_id,canonical_smiles,pEC50,MW,logP,TPSA,QED,scaffold,peptide_like
CHEMBL2364341,COc1ncc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccc(C)o2)c(F)c1,7.199970640755866,474.5580000000002,3.785120000000002,96.7,0.5611502205654135,O=S(=O)(Nc1cncc(N2CCNCC2)c1)c1ccc(-c2ccco2)cc1,False
CHEMBL294408,CS(=O)(=O)N1CC2(CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)[C@@H](N)CO)CC2)c2ccccc21.O=C(O)C(F)(F)F,7.1598939055432425,644.6690000000004,0.9809000000000045,179.57,0.30967790447195587,O=C(CCOCc1ccccc1)N1CCC2(CC1)CNc1ccccc12,True
CHEMBL301259,CS(=O)(=O)N1CC2(CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)[C@H](CO)NC(=O)CN)CC2)c2ccccc21.O=C(O)C(F)(F)F,8.09963287134353,701.7210000000005,0.09710000000000768,208.67,0.21347021499507152,O=C(CCOCc1ccccc1)N1CCC2(CC1)CNc1ccccc12,True
CHEMBL235363,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCN=C(N)N)C(N)=O,7.180456064458131,1347.6570000000004,-3.7110000000000074,519.1299999999999,0.017272661617000966,O=C(CNC(=O)C1CCCN1C(=O)CNC(=O)C1CCCN1)NCC(=O)NC(Cc1ccccc1)C(=O)NCCc1ccccc1,True
CHEMBL182158,CSc1ccc(Oc2ccc3c(c2)CCN(C(=O)OC(C)(C)C)C3C(=O)NCCN(C(C)C)C(C)C)cc1,8.619788758288394,541.7580000000003,6.2701000000000064,71.10999999999999,0.37744435097187684,c1ccc(Oc2ccc3c(c2)CCNC3)cc1,True
CHEMBL489794,CSc1cccc(N(C[C@H]2CCCN2)C(=O)C(C)Oc2ccccc2)c1,5.698970004336019,370.51800000000003,3.961000000000003,41.57000000000001,0.7492524004582862,O=C(COc1ccccc1)N(CC1CCCN1)c1ccccc1,False
CHEMBL489610,C[C@@H](Oc1cccc(Cl)c1)C(=O)N(Cc1ccccc1)C[C@H]1CCCN1,5.823908740944319,372.89600000000013,3.8881000000000023,41.57,0.8012753628646416,O=C(COc1ccccc1)N(Cc1ccccc1)CC1CCCN1,False
CHEMBL3940705,C[C@@H]1C(=O)N[C@H](Cc2c(F)c(F)c(F)c(F)c2F)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,596.5970000000001,2.765900000000001,99.77,0.28775479948271876,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923626,C[C@@H]1C(=O)N[C@H](Cc2ccc(C(F)(F)F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.479303657420887,574.6440000000001,3.089200000000001,99.77,0.5235822985773239,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3920049,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,541.0920000000003,2.7238000000000007,99.77,0.5557620873783934,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3905791,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2Cl)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,575.5370000000003,3.377200000000001,99.77,0.521574905122561,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3938104,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCC#Cc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,520.6050000000004,1.6283999999999996,99.77,0.5346695666004281,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2C#CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3932408,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cc(NS(C)(=O)=O)ccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,617.7440000000001,1.581000000000002,145.94000000000003,0.398703889968855,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923642,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2OCCN[C@@H](C2CC2)C(=O)N1C,8.284318117920506,542.6270000000003,2.3486000000000002,99.77,0.5532530411238766,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923640,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cccc3c2O[C@H](CC3)CN[C@@H](C2CC2)C(=O)N1C,7.070581074285707,550.6750000000003,2.524300000000001,99.77,0.5456950379291087,O=C1CNC(=O)C(C2CC2)NCC2CCc3cccc(c3O2)CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923638,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O[C@@H](C)CN[C@@H](C2CC2)C(=O)N1C,8.292513326014591,538.6640000000003,2.5980000000000008,99.77,0.5581335528453896,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3934402,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ncccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.0,525.6250000000003,1.6045000000000003,112.66000000000001,0.561443474946499,O=C1CNC(=O)C(C2CC2)NCCOc2cccnc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923610,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.319136081991203,506.64700000000033,2.0704,99.77,0.5920476566832851,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL473921,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4ccc(F)cc4)CC3)cc2)C[C@H](C)N1,7.0,501.6500000000002,4.786600000000004,60.50000000000001,0.5088684675395808,O=C(c1ncccc1-c1ccc(CN2CCNCC2)cc1)N1CCC(Nc2ccccc2)CC1,False
CHEMBL480219,C[C@@H]1CN(Cc2ccc(-n3ccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)C[C@H](C)N1,6.299997602857746,490.6270000000002,3.910300000000003,65.43,0.5486364136275238,O=C(c1nccn1-c1ccc(CN2CCNCC2)cc1)N1CCC(Nc2ccccc2)CC1,False
CHEMBL257019,C[C@@H]1CN(c2cc(NS(=O)(=O)c3ccc(-c4ccccn4)s3)ccc2C#N)C[C@H](C)N1,6.199998172182031,453.59300000000013,3.6691800000000017,98.12,0.6117031084844404,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccn2)s1,False
CHEMBL2364375,C[C@@H]1CN(c2cc(NS(=O)(=O)c3ccc(-c4cccs4)cc3)ccc2C#N)C[C@H](C)N1,7.0,452.60500000000013,4.274180000000003,85.23,0.6037323303879636,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cccs2)cc1,False
CHEMBL410527,C[C@@H]1CN(c2ccc(C(=O)N(C)C)c(NS(=O)(=O)c3ccc(-c4ccccn4)s3)c2)C[C@H](C)N1,6.0999990348465305,499.66200000000015,3.4993000000000025,94.64,0.5391859936944478,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccn2)s1,False
CHEMBL2364477,C[C@@H]1CN(c2ccc(Cl)c(NS(=O)(=O)c3ccc(-c4ccccc4F)s3)c2)C[C@H](C)N1,8.0,480.03000000000014,5.195000000000004,61.440000000000005,0.5279927433463909,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccc2)s1,False
CHEMBL264170,C[C@@H]1CN(c2ccc(Cl)c(NS(=O)(=O)c3ccc(-c4ccccn4)s3)c2)C[C@H](C)N1,7.400007822415902,463.02800000000013,4.450900000000003,74.33,0.5855021764907813,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccn2)s1,False
CHEMBL2364475,C[C@@H]1CN(c2ccc(Cl)c(NS(=O)(=O)c3ccc(-c4ccco4)cc3)c2)C[C@H](C)N1,8.79997073344623,445.97200000000015,4.587400000000004,74.58,0.6005070207743898,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccco2)cc1,False
CHEMBL2364439,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4ccccc4)cc3)c2)C[C@H](C)N1,7.50003813440381,439.55600000000015,4.480100000000003,61.440000000000005,0.6154224366131281,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccc2)cc1,False
CHEMBL410013,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4ccccn4)s3)c2)C[C@H](C)N1,7.0,446.57300000000015,3.936600000000002,74.33,0.6211286338094458,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccccn2)s1,False
CHEMBL2364444,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4cccs4)c(F)c3)c2)C[C@H](C)N1,8.0,463.57500000000016,4.680700000000004,61.440000000000005,0.5768543782911535,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cccs2)cc1,False
CHEMBL2364406,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4cccs4)cc3)c2)C[C@H](C)N1,8.299988937677888,445.58500000000015,4.541600000000004,61.440000000000005,0.6052847447661088,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cccs2)cc1,False
CHEMBL2364442,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4cccs4)cc3Cl)c2)C[C@H](C)N1,8.100015437450608,480.03000000000014,5.195000000000005,61.440000000000005,0.5279927433463909,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cccs2)cc1,False
CHEMBL2364440,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4cccs4)cc3F)c2)C[C@H](C)N1,7.700057099977233,463.57500000000016,4.680700000000004,61.440000000000005,0.5768543782911535,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2cccs2)cc1,False
CHEMBL2364447,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4ccoc4)c(F)c3)c2)C[C@H](C)N1,7.79997073344623,447.5070000000002,4.212200000000003,74.58,0.6129442449399162,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccoc2)cc1,False
CHEMBL2364445,C[C@@H]1CN(c2ccc(F)c(NS(=O)(=O)c3ccc(-c4ccoc4)cc3)c2)C[C@H](C)N1,7.599980364934842,429.51700000000017,4.073100000000002,74.58,0.639521504945591,O=S(=O)(Nc1cccc(N2CCNCC2)c1)c1ccc(-c2ccoc2)cc1,False
