Gene	Gene name	Cell type	nCPM
ENSG00000157017	GHRL	cardiomyocytes	13.9
ENSG00000157017	GHRL	cdc	26.7
ENSG00000157017	GHRL	cholangiocytes	0.0
ENSG00000157017	GHRL	choroid plexus epithelial cells	1.1
ENSG00000157017	GHRL	colonocytes	1.0
ENSG00000157017	GHRL	cone photoreceptor cells	10.4
ENSG00000157017	GHRL	conjunctival goblet cells	0.0
ENSG00000157017	GHRL	corticotrophs	0.7
ENSG00000157017	GHRL	cytotrophoblasts	3.4
ENSG00000157017	GHRL	decidual stromal cells	2.0
ENSG00000157017	GHRL	differentiating spermatogonia	2.1
ENSG00000157017	GHRL	distal convoluted tubule cells	3.1
ENSG00000157017	GHRL	early primary spermatocytes	3.4
ENSG00000157017	GHRL	early spermatids	0.7
ENSG00000157017	GHRL	endometrial ciliated cells	1.2
ENSG00000157017	GHRL	endometrial glandular cells	2.2
ENSG00000157017	GHRL	endometrial luminal cells	1.8
ENSG00000157017	GHRL	endometrial secretory cells	1.9
ENSG00000157017	GHRL	endometrial stromal cells	2.8
ENSG00000157017	GHRL	enteric stem cells	1.3
ENSG00000157017	GHRL	enteric transient amplifying cells	1.0
ENSG00000157017	GHRL	enterocytes	3.1
ENSG00000157017	GHRL	ependymal cells	1.7
ENSG00000157017	GHRL	epicardial cells	9.1
ENSG00000157017	GHRL	epididymal basal cells	3.6
ENSG00000157017	GHRL	epididymal clear cells	0.0
ENSG00000157017	GHRL	epididymal efferent duct absorptive cells	0.5
ENSG00000157017	GHRL	epididymal efferent duct ciliated cells	0.8
ENSG00000157017	GHRL	epididymal principal cells	28.4
ENSG00000157017	GHRL	erythrocyte progenitors	1.1
ENSG00000157017	GHRL	erythrocytes	0.2
ENSG00000157017	GHRL	esophageal apical cells	1.1
ENSG00000157017	GHRL	esophageal basal cells	1.2
ENSG00000157017	GHRL	esophageal suprabasal cells	1.0
ENSG00000157017	GHRL	extravillous trophoblasts	3.1
ENSG00000157017	GHRL	fallopian secretory cells	0.8
ENSG00000157017	GHRL	fallopian tube ciliated cells	0.5
ENSG00000157017	GHRL	fibro-adipogenic progenitors	12.5
ENSG00000157017	GHRL	fibroblasts	3.6
ENSG00000157017	GHRL	foveolar cells	14.9
ENSG00000157017	GHRL	gastric chief cells	891.1
ENSG00000157017	GHRL	gastric progenitor cells	0.0
ENSG00000157017	GHRL	goblet cells	1.3
ENSG00000157017	GHRL	gonadotrophs	0.7
ENSG00000157017	GHRL	granulosa cells	0.8
ENSG00000157017	GHRL	hematopoietic stem cells	2.4
ENSG00000157017	GHRL	hepatic stellate cells	0.0
ENSG00000157017	GHRL	hepatocytes	0.5
ENSG00000157017	GHRL	hofbauer cells	4.2
ENSG00000157017	GHRL	innate lymphoid cells	3.9
ENSG00000157017	GHRL	kupffer cells	5.1
ENSG00000157017	GHRL	lacrimal acinar cells	0.0
ENSG00000157017	GHRL	lactotrophs	1.5
ENSG00000157017	GHRL	late primary spermatocytes	0.9
ENSG00000157017	GHRL	late spermatids	1.5
ENSG00000157017	GHRL	leydig cells	3.0
ENSG00000157017	GHRL	loop of henle epithelial cells	3.6
ENSG00000157017	GHRL	lymphatic endothelial cells	1.8
ENSG00000157017	GHRL	macrophages	9.9
ENSG00000157017	GHRL	mast cells	7.6
ENSG00000157017	GHRL	medullary thymic epithelial cells	4.8
ENSG00000157017	GHRL	megakaryocyte progenitors	1.4
ENSG00000157017	GHRL	megakaryocyte-erythroid progenitors	2.2
ENSG00000157017	GHRL	megakaryocytes	0.0
ENSG00000157017	GHRL	melanocytes	5.1
ENSG00000157017	GHRL	mesothelial cells	6.8
ENSG00000157017	GHRL	microglia	9.1
ENSG00000157017	GHRL	migrating cytotrophoblasts	2.5
ENSG00000157017	GHRL	monocyte progenitors	4.0
ENSG00000157017	GHRL	monocytes	4.2
ENSG00000157017	GHRL	mucous neck cells	33.5
ENSG00000157017	GHRL	müller glia	5.3
ENSG00000157017	GHRL	myonuclei	17.3
ENSG00000157017	GHRL	myosatellite cells	4.3
ENSG00000157017	GHRL	neuroendocrine cells	12020.2
ENSG00000157017	GHRL	neutrophil progenitors	5.2
ENSG00000157017	GHRL	neutrophils	9.0
ENSG00000157017	GHRL	nk-cells	3.8
ENSG00000157017	GHRL	ocular epithelial cells	0.7
ENSG00000157017	GHRL	oligodendrocyte progenitor cells	1.4
ENSG00000157017	GHRL	oligodendrocytes	1.4
ENSG00000157017	GHRL	oocytes	0.0
ENSG00000157017	GHRL	other brain neurons	1.3
ENSG00000157017	GHRL	ovarian stromal cells	2.9
ENSG00000157017	GHRL	pancreatic acinar cells	1.5
ENSG00000157017	GHRL	pancreatic duct cells	2.5
ENSG00000157017	GHRL	pancreatic islet cells	838.0
ENSG00000157017	GHRL	paneth cells	0.0
ENSG00000157017	GHRL	papillary tip epithelial cells	5.5
ENSG00000157017	GHRL	parietal cells	10.6
ENSG00000157017	GHRL	pdcs	18.0
ENSG00000157017	GHRL	pericytes	3.6
ENSG00000157017	GHRL	peritubular myoid cells	2.0
ENSG00000157017	GHRL	pituicytes/fscs	2.8
ENSG00000157017	GHRL	pituitary stem cells	2.2
ENSG00000157017	GHRL	plasma cells	7.0
ENSG00000157017	GHRL	platelets	0.0
ENSG00000157017	GHRL	podocytes	2.1
ENSG00000157017	GHRL	prostatic club cells	1.6
ENSG00000157017	GHRL	prostatic glandular cells	1.7
ENSG00000157017	GHRL	prostatic hillock cells	1.2
ENSG00000157017	GHRL	proximal tubule cells	4.6
ENSG00000157017	GHRL	renal collecting duct intercalated cells	2.7
ENSG00000157017	GHRL	renal collecting duct principal cells	4.4
ENSG00000157017	GHRL	renal connecting tubule cells	3.1
ENSG00000157017	GHRL	respiratory basal cells	1.5
ENSG00000157017	GHRL	respiratory ciliated cells	1.6
ENSG00000157017	GHRL	respiratory deuterosomal cells	0.0
ENSG00000157017	GHRL	respiratory ionocytes	0.0
ENSG00000157017	GHRL	respiratory secretory cells	1.4
ENSG00000157017	GHRL	retinal amacrine cells	3.9
ENSG00000157017	GHRL	retinal bipolar cells	5.8
ENSG00000157017	GHRL	retinal ganglion cells	0.0
ENSG00000157017	GHRL	retinal horizontal cells	4.0
ENSG00000157017	GHRL	retinal pigment epithelial cells	4.3
ENSG00000157017	GHRL	rod photoreceptor cells	6.7
ENSG00000157017	GHRL	salivary acinar cells	2.0
ENSG00000157017	GHRL	salivary basal cells	1.3
ENSG00000157017	GHRL	salivary duct cells	1.3
ENSG00000157017	GHRL	salivary ionocytes	1.8
ENSG00000157017	GHRL	salivary myoepithelial cells	0.0
ENSG00000157017	GHRL	schwann cells	1.8
ENSG00000157017	GHRL	sertoli cells	1.7
ENSG00000157017	GHRL	smooth muscle cells	0.5
ENSG00000157017	GHRL	somatotrophs	0.8
ENSG00000157017	GHRL	submucosal glandular cells	1.2
ENSG00000157017	GHRL	suprabasal keratinocytes	1.4
ENSG00000157017	GHRL	syncytiotrophoblasts	1.3
ENSG00000157017	GHRL	t-cells	4.9
ENSG00000157017	GHRL	thymic myoid cells	2.7
ENSG00000157017	GHRL	thymocytes	5.9
ENSG00000157017	GHRL	thyrotrophs	0.6
ENSG00000157017	GHRL	transitional alveolar cells	1.2
